"lnm_rate","treated","state","year"
-11.0997276306152,1,53,1929
-7.57757759094238,0,53,1929
-10.5655155181885,1,53,1930
-7.58236217498779,0,53,1930
-13.0560445785522,1,53,1931
-7.55071258544922,0,53,1931
-10.6637392044067,1,53,1932
-7.71452713012695,0,53,1932
-10.233980178833,1,53,1933
-7.88541030883789,0,53,1933
-10.3001337051392,1,53,1934
-7.95472860336304,0,53,1934
-11.6919260025024,1,53,1935
-7.97835397720337,0,53,1935
-10.7811031341553,1,53,1936
-7.94202470779419,0,53,1936
-11.2973670959473,1,54,1937
-8.12628173828125,0,54,1937
-11.4850978851318,1,54,1938
-8.09732341766357,0,54,1938
-13.0999155044556,1,54,1939
-8.16544151306152,0,54,1939
-11.7189712524414,1,54,1940
-8.46087551116943,0,54,1940
-12.4205703735352,1,54,1941
-8.16495800018311,0,54,1941
-11.7358045578003,1,54,1942
-8.49712562561035,0,54,1942
-13.1304092407227,1,54,1943
-8.22513484954834,0,54,1943
-10.8913679122925,1,55,1925
-7.12670230865479,0,55,1925
-10.7136478424072,1,55,1926
-7.08476448059082,0,55,1926
-10.5489778518677,1,55,1927
-7.20672273635864,0,55,1927
-10.9928903579712,1,55,1928
-7.22990274429321,0,55,1928
-11.3397846221924,1,55,1929
-7.23661422729492,0,55,1929
-11.0849514007568,1,55,1930
-7.28982448577881,0,55,1930
-10.7842044830322,1,55,1931
-7.33308410644531,0,55,1931
-10.9274892807007,1,55,1932
-7.38078927993774,0,55,1932
-11.1604251861572,1,55,1933
-7.46338891983032,0,55,1933
-11.0806436538696,1,55,1934
-7.52031946182251,0,55,1934
-11.9685840606689,1,55,1935
-7.55718517303467,0,55,1935
-11.7330665588379,1,55,1936
-7.5614800453186,0,55,1936
-12.5244092941284,1,56,1937
-7.6068639755249,0,56,1937
-12.8374404907227,1,56,1938
-7.68152523040771,0,56,1938
-12.2424726486206,1,56,1939
-7.7471170425415,0,56,1939
-12.3506937026978,1,56,1940
-7.75277185440063,0,56,1940
-13.0598211288452,1,56,1941
-7.73302459716797,0,56,1941
-13.07555103302,1,56,1942
-7.73268508911133,0,56,1942
-12.6492033004761,1,56,1943
-7.7219500541687,0,56,1943
-11.5545959472656,1,57,1929
-6.19330358505249,0,57,1929
-11.5695819854736,1,57,1930
-6.27502202987671,0,57,1930
-10.7839603424072,1,57,1931
-6.5134859085083,0,57,1931
-10.2332792282104,1,57,1932
-6.58424615859985,0,57,1932
-10.4650077819824,1,57,1933
-6.71098899841309,0,57,1933
-10.4144220352173,1,57,1934
-6.72732973098755,0,57,1934
-11.2847013473511,1,57,1935
-6.84009122848511,0,57,1935
-10.1031942367554,1,57,1936
-6.85475921630859,0,57,1936
-11.1749877929688,1,58,1937
-6.84237623214722,0,58,1937
-11.7561025619507,1,58,1938
-6.9561882019043,0,58,1938
-12.0648317337036,1,58,1939
-7.10665988922119,0,58,1939
-12.0854444503784,1,58,1940
-7.1900954246521,0,58,1940
-13.2117557525635,1,58,1941
-7.35096979141235,0,58,1941
-13.2387084960938,1,58,1942
-7.52497577667236,0,58,1942
-12.1663417816162,1,58,1943
-7.39848566055298,0,58,1943
-11.0044221878052,1,59,1925
-7.01854562759399,0,59,1925
-10.9773740768433,1,59,1926
-7.05016708374023,0,59,1926
-10.9052619934082,1,59,1927
-7.1398229598999,0,59,1927
-11.0761919021606,1,59,1928
-7.13667774200439,0,59,1928
-11.1048583984375,1,59,1929
-7.18790149688721,0,59,1929
-11.3994998931885,1,59,1930
-7.23818206787109,0,59,1930
-10.912896156311,1,59,1931
-7.29370546340942,0,59,1931
-10.4596843719482,1,59,1932
-7.36603736877441,0,59,1932
-10.9847784042358,1,59,1933
-7.39389657974243,0,59,1933
-11.2824306488037,1,59,1934
-7.44054079055786,0,59,1934
-11.1255464553833,1,59,1935
-7.46895313262939,0,59,1935
-11.174919128418,1,59,1936
-7.44282913208008,0,59,1936
-11.8116550445557,1,60,1937
-7.49825668334961,0,60,1937
-12.2444610595703,1,60,1938
-7.61414098739624,0,60,1938
-12.4979982376099,1,60,1939
-7.63339138031006,0,60,1939
-12.7530927658081,1,60,1940
-7.67535781860352,0,60,1940
-12.9002666473389,1,60,1941
-7.69965934753418,0,60,1941
-13.258448600769,1,60,1942
-7.72505903244019,0,60,1942
-12.8909320831299,1,60,1943
-7.6924352645874,0,60,1943
-11.4667768478394,1,61,1925
-6.93274450302124,0,61,1925
-11.3337354660034,1,61,1926
-6.95385408401489,0,61,1926
-11.3833961486816,1,61,1927
-7.05498743057251,0,61,1927
-11.2164392471313,1,61,1928
-7.12412929534912,0,61,1928
-10.942530632019,1,61,1929
-7.07284545898438,0,61,1929
-11.1851396560669,1,61,1930
-7.15009450912476,0,61,1930
-10.8199310302734,1,61,1931
-7.21706914901733,0,61,1931
-11.4618492126465,1,61,1932
-7.28114748001099,0,61,1932
-11.0854949951172,1,61,1933
-7.33929109573364,0,61,1933
-11.3431797027588,1,61,1934
-7.32980394363403,0,61,1934
-11.9248371124268,1,61,1935
-7.44698333740234,0,61,1935
-11.9804124832153,1,61,1936
-7.37905883789062,0,61,1936
-12.0381765365601,1,62,1937
-7.47174739837646,0,62,1937
-11.9517612457275,1,62,1938
-7.50964450836182,0,62,1938
-12.5667123794556,1,62,1939
-7.55385780334473,0,62,1939
-12.757773399353,1,62,1940
-7.57655143737793,0,62,1940
-12.5922861099243,1,62,1941
-7.71772527694702,0,62,1941
-13.014307975769,1,62,1942
-7.80755758285522,0,62,1942
-12.6251287460327,1,62,1943
-7.89112615585327,0,62,1943
-9.53462314605713,1,63,1925
-7.64377307891846,0,63,1925
-9.23654174804688,1,63,1926
-7.72734880447388,0,63,1926
-10.1971311569214,1,63,1927
-7.66661405563354,0,63,1927
-10.0537643432617,1,63,1928
-7.74088764190674,0,63,1928
-10.4816484451294,1,63,1929
-7.97076654434204,0,63,1929
-11.1285047531128,1,63,1930
-7.9630298614502,0,63,1930
-10.5921449661255,1,63,1931
-8.17833423614502,0,63,1931
-11.8101558685303,1,63,1932
-8.12127685546875,0,63,1932
-11.0159015655518,1,63,1933
-8.28389739990234,0,63,1933
-10.8430156707764,1,63,1934
-8.26630115509033,0,63,1934
-10.000901222229,1,63,1935
-8.23161506652832,0,63,1935
-9.89969062805176,1,63,1936
-8.23141288757324,0,63,1936
-11.1930389404297,1,64,1937
-8.20287704467773,0,64,1937
-10.5510787963867,1,64,1938
-8.44264984130859,0,64,1938
-11.2988433837891,1,64,1939
-8.42245864868164,0,64,1939
-12.2736301422119,1,64,1940
-8.55196094512939,0,64,1940
-12.6756153106689,1,64,1941
-8.63256454467773,0,64,1941
-12.6721239089966,1,64,1942
-8.56947994232178,0,64,1942
-8.54958248138428,0,64,1943
-10.1111221313477,1,65,1925
-7.16022920608521,0,65,1925
-10.4183120727539,1,65,1926
-7.12405252456665,0,65,1926
-10.5811614990234,1,65,1927
-7.21089029312134,0,65,1927
-10.7772941589355,1,65,1928
-7.21183824539185,0,65,1928
-10.6989784240723,1,65,1929
-7.26390266418457,0,65,1929
-10.5916366577148,1,65,1930
-7.37323999404907,0,65,1930
-10.2885980606079,1,65,1931
-7.35816860198975,0,65,1931
-10.3147735595703,1,65,1932
-7.47838544845581,0,65,1932
-10.3414402008057,1,65,1933
-7.5194034576416,0,65,1933
-10.2321481704712,1,65,1934
-7.55927801132202,0,65,1934
-10.2526035308838,1,65,1935
-7.53788137435913,0,65,1935
-10.6703147888184,1,65,1936
-7.56102752685547,0,65,1936
-10.8847074508667,1,66,1937
-7.62510919570923,0,66,1937
-11.3338308334351,1,66,1938
-7.72555351257324,0,66,1938
-11.4402837753296,1,66,1939
-7.75954580307007,0,66,1939
-11.9639434814453,1,66,1940
-7.81361961364746,0,66,1940
-12.4672260284424,1,66,1941
-7.77350234985352,0,66,1941
-12.2224254608154,1,66,1942
-7.82410335540771,0,66,1942
-12.2659091949463,1,66,1943
-7.85775661468506,0,66,1943
-10.8739604949951,1,67,1928
-7.52246236801147,0,67,1928
-10.7618370056152,1,67,1929
-7.50682258605957,0,67,1929
-10.9516582489014,1,67,1930
-7.5153694152832,0,67,1930
-10.6797552108765,1,67,1931
-7.50549650192261,0,67,1931
-10.8136425018311,1,67,1932
-7.62522602081299,0,67,1932
-11.5470991134644,1,67,1933
-7.58421802520752,0,67,1933
-11.4222421646118,1,67,1934
-7.62244081497192,0,67,1934
-11.5870361328125,1,67,1935
-7.62535762786865,0,67,1935
-10.8916244506836,1,67,1936
-7.51109313964844,0,67,1936
-11.1181955337524,1,68,1937
-7.56939935684204,0,68,1937
-11.580225944519,1,68,1938
-7.67917156219482,0,68,1938
-11.8357744216919,1,68,1939
-7.68984222412109,0,68,1939
-12.5872602462769,1,68,1940
-7.64205265045166,0,68,1940
-12.8703174591064,1,68,1941
-7.68479585647583,0,68,1941
-13.5588188171387,1,68,1942
-7.76885890960693,0,68,1942
-13.0433254241943,1,68,1943
-7.81543111801147,0,68,1943
-10.6788911819458,1,69,1925
-7.34668684005737,0,69,1925
-10.4359550476074,1,69,1926
-7.39878559112549,0,69,1926
-10.9405202865601,1,69,1927
